Ind,Code,First_name,Last_name,Position,Shoots,Draft_year,Draft_round,Height,Weight,DOB,Age,Country,Place,Year,Team,Games,Goals,Assists,Points,PM,Pen,G_ev,G_pp,G_sh,Gwg,A_ev,A_pp,A_sh,S,SA,TOI,TOI_avg,FOW,FOL,HIT,BLK,TKY,GWY,PDO,OZS,DZS,OPS,DPS,Salary,Cap_hit,P/60,P1/60,GS/60,CF,CA,CF%,Rel CF%,GF,GA,xGF,xGA,xGF%,Rel xGF%,iPENT,iPEND,iSh%,ixGF,ixGF/60,ZSR,TOI%,TOI% QoT,CF% QoT,TOI% QoC,CF% QoC,GP,G,A,P,P1,GS,C+/-,G+/-,GF%,xG+/-,iP+/-,iCF,iCF/60
28,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2009,PHI,79,1,12,13,6,61,1,0,0,0,11,0,1,46,122,1032.65,15.48,0,0,157,133,27,59,100.7,49.8,50.2,0.0,2.7,1250000.0,1250000.0,0.64,0.29,0.59,917,987,48.16,0.67,45,42,37.4,40.04,48.3,0.07,22,10,2.22,1.86,0.11,49.62,28.35,26.97,47.01,28.18,49.18,79.0,1,10,11,5,10.07,-70,3,51.72,-2.64,-12,117,6.8
29,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2010,TOT,76,3,9,12,6,87,3,0,0,0,9,0,0,50,131,994.1,15.23,0,1,216,88,19,39,100.9,46.8,53.2,0.2,2.9,1050000.0,1050000.0,0.72,0.48,0.96,914,867,51.32,1.1,48,43,37.92,39.7,48.85,1.19,27,12,6.98,2.13,0.13,47,28.91,27.03,49.02,28.68,49.23,75.0,3,9,12,8,15.91,47,5,,-1.78,-15,118,7.12
30,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2010,CAR,62,2,8,10,7,74,2,0,0,0,8,0,0,38,105,994.1,15.04,0,0,172,67,17,30,102.1,48.9,51.1,0.2,2.6,1050000.0,1050000.0,0.72,0.48,0.96,914,867,51.32,1.1,48,43,37.92,39.7,48.85,1.19,27,12,6.98,2.13,0.13,47,28.91,27.03,49.02,28.68,49.23,75.0,3,9,12,8,15.91,47,5,,-1.78,-15,118,7.12
31,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2010,VAN,14,1,1,2,-1,13,1,0,0,0,1,0,0,12,26,994.1,16.45,0,1,44,21,2,9,94.9,38.2,61.8,0.0,0.3,1050000.0,1050000.0,0.72,0.48,0.96,914,867,51.32,1.1,48,43,37.92,39.7,48.85,1.19,27,12,6.98,2.13,0.13,47,28.91,27.03,49.02,28.68,49.23,75.0,3,9,12,8,15.91,47,5,,-1.78,-15,118,7.12
32,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2011,VAN,42,1,6,7,0,41,1,0,0,0,6,0,0,21,53,554.52,15.1,0,0,113,49,7,19,101.4,40.6,59.4,0.1,1.3,1050000.0,1050000.0,0.65,0.54,0.25,458,520,46.83,-6.59,22,22,17.91,19.58,47.77,-4.05,20,7,4.76,1,0.11,41.22,27.84,27.04,51.55,28.86,49.08,42.0,1,5,6,5,2.27,-62,,50,-1.67,-13,51,5.52
33,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2012,VAN,44,2,1,3,4,40,2,0,0,2,1,0,0,19,61,573.38,14.18,0,0,91,39,13,16,103.4,39.4,60.6,-0.2,1.6,1225000.0,1225000.0,0.31,0.21,0.15,446,516,46.36,-7.09,22,18,17.74,21.63,45.06,-4.59,14,8,10.53,0.64,0.07,39.56,27.18,26.53,51.82,28.35,49.16,44.0,2,1,3,2,1.43,-70,4,55,-3.89,-6,61,6.38
34,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2013,VAN,24,0,1,1,-7,32,0,0,0,0,1,0,0,15,40,331.38,15.11,0,0,39,31,5,7,96.4,42.3,57.7,-0.3,0.2,1225000.0,1225000.0,0.18,0.18,0.01,251,283,47.0,-4.78,6,13,9.62,13.14,42.27,-9.57,7,4,,0.71,0.13,42.28,27.65,26.96,50.89,28.08,49.41,24.0,,1,1,1,0.03,-32,-7,31.58,-3.52,-3,40,7.24
35,alberan01,Andrew,Alberts,D,L,2001,6.178999999999999,196,206,1981-06-30,37.23283763,US,Other,2014,VAN,10,0,0,0,1,0,0,0,0,0,0,0,0,5,13,70.12,7.23,0,0,6,7,0,4,107.1,37.5,62.5,-0.1,0.3,600000.0,600000.0,,,0.27,57,65,46.72,-1.82,2,2,2.15,3.01,41.67,-8.93,,,,0.17,0.15,37.5,13.89,28.06,50.68,27.76,49.2,10.0,,,,,0.32,-8,,50,-0.86,,13,11.12
36,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2008,OTT,70,40,49,89,15,34,24,9,7,5,31,16,2,217,368,969.78,22.17,21,18,55,30,72,60,101.1,60.1,39.9,9.7,1.8,4873876.0,4873876.0,3.09,2.29,3.19,966,834,53.67,3.84,59,49,40.89,40.92,49.98,-0.72,10,15,19.09,9.77,0.6,58.47,32.74,32.94,50.11,30.16,49.99,65.0,21,29,50,37,51.49,132,10,54.63,-0.03,5,201,12.44
37,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2009,OTT,79,24,50,74,7,24,15,8,1,3,27,20,3,204,350,1101.18,20.53,4,13,57,33,72,56,99.9,52.5,47.5,5.7,2.5,4873876.0,4873876.0,2.18,1.63,2.5,1080,963,52.86,4.92,55,43,44.79,41.21,52.08,2.75,6,17,11.67,10.1,0.55,52.25,29.95,31.74,47.05,29.77,49.47,79.0,14,26,40,30,45.96,117,12,56.12,3.58,11,206,11.22
38,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2010,OTT,70,20,51,71,8,22,15,4,1,5,21,27,3,168,313,952.08,19.4,14,25,41,36,76,42,101.4,55.2,44.8,5.9,2.0,700000.0,700000.0,2.02,1.45,1.86,836,867,49.09,-3.65,41,38,36.03,36.42,49.73,-4.58,4,5,12.26,9.81,0.62,55.47,28.44,30.95,51.03,30.3,50.18,70.0,13,19,32,23,29.54,-31,3,,-0.39,1,191,12.04
39,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2011,OTT,54,14,17,31,-19,18,7,7,0,1,12,5,0,96,187,747.05,19.17,2,10,41,21,45,46,96.3,52.8,47.2,2.1,0.6,700000.0,700000.0,1.29,1.04,0.99,617,685,47.39,-4.2,24,42,23.64,29.98,44.09,-6.46,4,8,8.96,5.37,0.43,53.06,28.29,31.32,49.04,30.16,50.03,54.0,6,10,16,13,12.34,-68,-18,36.36,-6.34,4,125,10.04
40,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2012,OTT,75,27,32,59,16,18,17,7,3,4,24,7,1,191,337,1080.77,18.57,20,26,52,31,50,58,101.4,58.0,42.0,5.7,1.8,700000.0,700000.0,1.94,1.67,2.7,1133,914,55.35,4.88,47,38,42.42,41.89,50.31,3.39,6,8,10.77,11.1,0.62,57.17,29.72,31.18,51.73,29.4,49.74,75.0,14,21,35,30,48.58,219,9,55.29,0.53,2,232,12.88
41,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2013,OTT,47,10,16,26,1,33,7,3,0,2,7,8,1,101,202,663.88,19.21,16,22,28,30,37,36,99.1,54.9,45.1,1.4,1.2,4875000.0,4875000.0,0.81,0.72,1.53,725,606,54.47,1.72,21,25,26.55,22.35,54.29,1.93,10,8,8.06,5.45,0.49,54.78,29.19,30.69,52.24,30.06,49.52,47.0,5,4,9,8,16.98,119,-4,45.65,4.2,-2,130,11.75
42,alfreda01,Daniel,Alfredsson,RW,R,1994,6.132999999999999,180,196,1972-12-11,45.78332134,SE,Other,2014,DET,68,18,31,49,2,10,14,4,0,4,17,14,0,151,271,900.0,16.56,5,9,59,25,24,36,100.9,57.2,42.8,4.4,1.3,3500000.0,3500000.0,1.87,1.33,2.01,759,710,51.67,-0.1,33,30,29.83,28.85,50.84,1.46,4,7,12.24,8.78,0.59,56.99,26.95,30.41,51.01,29.52,49.43,68.0,12,16,28,20,30.2,49,3,52.38,0.98,3,168,11.2
43,allenbo01,Bobby,Allen,D,L,1998,2.052,183,201,1978-11-14,39.85849067,US,Other,2008,BOS,19,0,0,0,-2,2,0,0,0,0,0,0,0,10,18,56.98,9.53,0,0,15,6,0,5,97.7,46.2,53.8,-0.2,0.2,,,,,0.47,47,38,55.29,2.67,,1,1.11,1.32,45.68,-8.64,1,1,,0.11,0.12,28,16.34,27.25,52.84,27.58,49.8,8.0,,,,,0.45,9,-1,,-0.21,,5,5.27
44,allenbr01,Bryan,Allen,D,L,1998,1.004,196,223,1980-08-21,38.08980281,CA,Other,2008,FLA,73,2,14,16,5,67,2,0,0,0,11,2,1,67,164,1183.33,21.17,0,0,112,119,27,25,101.7,48.3,51.7,0.2,3.7,2900000.0,2900000.0,0.41,0.15,0.5,1052,1108,48.7,-0.69,46,43,42.29,49.94,45.85,-2.38,19,11,1.75,2.35,0.12,48.99,36.33,29.88,49.74,29.94,50.4,71.0,1,7,8,3,9.93,-56,3,51.69,-7.65,-8,148,7.5
45,allenbr01,Bryan,Allen,D,L,1998,1.004,196,223,1980-08-21,38.08980281,CA,Other,2009,FLA,2,0,1,1,2,0,0,0,0,0,1,0,0,5,7,43.02,27.11,0,0,5,7,0,0,105.7,38.1,61.9,0.0,0.3,2900000.0,2900000.0,1.39,,2.72,41,32,56.16,1.62,3,,1.78,1.29,57.98,9.45,,,,0.12,0.17,38.1,50.8,28.38,46.98,29.11,48.96,2.0,,1,1,,1.95,9,3,100,0.49,,6,8.37
46,allenbr01,Bryan,Allen,D,L,1998,1.004,196,223,1980-08-21,38.08980281,CA,Other,2010,FLA,74,4,9,13,-8,99,3,0,1,2,8,0,1,78,165,1228.88,19.1,0,0,120,137,13,29,100.0,40.0,60.0,0.2,2.4,2900000.0,2900000.0,0.54,0.39,0.11,1027,1305,44.04,-1.29,40,51,41.41,49.36,45.62,-1.07,27,22,4.11,3.28,0.16,39.94,34.29,28.18,45.12,28.99,50.07,74.0,3,8,11,8,2.33,-278,-11,,-7.95,-5,153,7.47
47,allenbr01,Bryan,Allen,D,L,1998,1.004,196,223,1980-08-21,38.08980281,CA,Other,2011,TOT,72,4,13,17,-1,82,4,0,0,1,13,0,0,58,143,1142.93,18.19,0,0,118,103,24,27,100.8,44.8,55.2,0.8,3.1,2900000.0,2900000.0,0.73,0.37,0.58,1072,1149,48.27,-2.81,54,55,43.66,42.82,50.49,-0.87,31,15,7.55,2.07,0.11,45.19,32.86,28.03,50.96,28.91,49.94,72.0,4,10,14,7,10.97,-77,-1,49.54,0.84,-16,133,6.98
48,allenbr01,Bryan,Allen,D,L,1998,1.004,196,223,1980-08-21,38.08980281,CA,Other,2011,FLA,53,4,8,12,-5,63,4,0,0,1,8,0,0,50,112,1142.93,19.13,0,0,83,76,16,21,99.8,44.6,55.4,0.6,2.2,2900000.0,2900000.0,0.73,0.37,0.58,1072,1149,48.27,-2.81,54,55,43.66,42.82,50.49,-0.87,31,15,7.55,2.07,0.11,45.19,32.86,28.03,50.96,28.91,49.94,72.0,4,10,14,7,10.97,-77,-1,49.54,0.84,-16,133,6.98
49,allenbr01,Bryan,Allen,D,L,1998,1.004,196,223,1980-08-21,38.08980281,CA,Other,2011,CAR,19,0,5,5,4,19,0,0,0,0,5,0,0,8,31,1142.93,15.51,0,0,35,27,8,6,104.0,45.3,54.7,0.2,0.9,2900000.0,2900000.0,0.73,0.37,0.58,1072,1149,48.27,-2.81,54,55,43.66,42.82,50.49,-0.87,31,15,7.55,2.07,0.11,45.19,32.86,28.03,50.96,28.91,49.94,72.0,4,10,14,7,10.97,-77,-1,49.54,0.84,-16,133,6.98
